Chemical compound	Metabolic activity	Microbial species or host cell-type	Reference # (Supplementary Data 2a)
Acetone	Production (export)	Clostridium tetani	[316]
Acetone	Production (export)	Clostridium thermocellum	[316]
Acetone	Consumption (import)	Colonocyte (host colon)	[336]
Adenine	Consumption (import)	Colonocyte (host colon)	[336]
Adenosine	Consumption (import)	Colonocyte (host colon)	[336]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bacillus megaterium	[173,176,203,261]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacillus subtilis	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides eggerthii	[198]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides fragilis	[198,343]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides thetaiotaomicron	[69,110,198]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Bacteroides vulgatus	[198]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bifidobacterium bifidum	[267]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bifidobacterium breve	[267]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[267]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Colonocyte (host colon)	[336]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Corynebacterium diphtheriae	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Deinococcus radiodurans	[125]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import) & production (export)	Escherichia coli	[6,69,102,362]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import) & production (export)	Klebsiella pneumoniae	[102,153,178]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Lactobacillus delbrueckii	[332]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Lactobacillus reuteri	[173,174,265,283,332]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Listeria innocua	[174]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Mesorhizobium loti	[111]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Mycobacterium leprae	[22]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Mycobacterium smegmatis	[176]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Parabacteroides distasonis	[198]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Porphyromonas gingivalis	[110]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Prevotella ruminicola (Bacteroides ruminicola)	[323]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Propionibacterium freudenreichii (Propionibacterium shermanii)	[130,131,139,173,174,176,268,300]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Proteus mirabilis	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Pseudomonas aeruginosa	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Ruminococcus bromii	[121]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Salmonella enterica	[173,174]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Shigella flexneri	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Shigella sonnei	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Consumption (import)	Staphylococcus aureus	[102]
Adenosylcobalamin (Vitamin B12, Cobamide coenzyme, Cob[II]alamin, Vitamin B12r, Cob[I]alamin, Vitamin B12s, Aquacobalamin, Cobalamin [III])	Production (export)	Streptomyces griseus	[176]
Adipate	Consumption (import)	Acidovorax avenae	[360]
Adipate	Consumption (import)	Acidovorax delafieldii	[360]
Alginate	Macromolecule degradation	Bacteroides ovatus	[279]
alpha-ketoglutarate (2-oxoglutarate)	Consumption (import)	Aeromicrobium marinum	[36]
alpha-Linolenic acid (Omega-3 fatty acid)	Consumption (import)	Butyrivibrio fibrisolvens	[115]
alpha-Linolenic acid (Omega-3 fatty acid)	Consumption (import)	Ruminococcus albus	[115]
alpha-Tocopherol (Vitamin E, alpha-Tocotrienol)	Consumption (import)	Colonocyte (host colon)	[336]
Anthranilate (o-amino-benzoic acid)	Consumption (import)	Colonocyte (host colon)	[336]
Arabinogalactan	Macromolecule degradation	Bacteroides ovatus	[279]
Arabinogalactan	Macromolecule degradation	Bacteroides thetaiotaomicron	[161,279]
Arabinogalactan	Macromolecule degradation	Bacteroides vulgatus	[279]
Arabinogalactan	Macromolecule degradation	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[62,68,280]
Arachidate (Arachidic acid)	Consumption (import)	Colonocyte (host colon)	[336]
Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Consumption (import)	Colonocyte (host colon)	[336]
Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Production (export)	Gluconobacter oxydans	[25]
Ascorbic acid (Vitamin C, L-Ascorbate, Ascorbate)	Production (export)	Ketogulonicigenium vulgare	[25]
Benzaldehyde	Consumption (import)	Geobacter metallireducens	[186]
Benzoate	Consumption (import)	Geobacter metallireducens	[117,186]
Benzoate	Consumption (import)	Klebsiella pneumoniae	[178]
Benzoate	Consumption (import)	Methylobacterium nodulans	[427]
Benzoate	Consumption (import)	Syntrophomonas wolfei	[137]
Benzoate	Consumption (import)	Syntrophus aciditrophicus	[137,302]
Benzyl alcohol	Consumption (import)	Geobacter metallireducens	[186]
beta-alanine (3-Aminopropionate)	Consumption (import)	Brucella suis	[242]
beta-alanine (3-Aminopropionate)	Consumption (import)	Corynebacterium diphtheriae	[242]
Betaine (Glycine betaine)	Consumption (import)	Acetohalobium arabaticum	[233]
Betaine (Glycine betaine)	Consumption (import)	Escherichia coli	[6]
Betaine (Glycine betaine)	Consumption (import)	Methanosaeta thermophila	[6]
Betaine (Glycine betaine)	Consumption (import)	Methanosarcina mazei	[6]
Betaine (Glycine betaine)	Consumption (import)	Methylobacterium nodulans	[427]
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Bacteroides fragilis	[343]
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Production (export)	Colonocyte (host colon)	[92,340,370]
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Desulfobulbus propionicus	[318]
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Methanobrevibacter smithii	[282]
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Pelobacter propionicus	[318]
Bicarbonate (HCO3-, H2CO3, Carbonic acid, Carbonate)	Consumption (import)	Ruminococcus bromii	[121]
Biotin (Vitamin B7)	Consumption (import)	Bacillus subtilis	[260]
Biotin (Vitamin B7)	Production (export)	Baumannia cicadellinicola	[207,368]
Biotin (Vitamin B7)	Production (export)	Bifidobacterium adolescentis	[267]
Biotin (Vitamin B7)	Production (export)	Bifidobacterium bifidum	[267,362]
Biotin (Vitamin B7)	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[267]
Biotin (Vitamin B7)	Consumption (import)	Brevibacillus brevis	[242]
Biotin (Vitamin B7)	Consumption (import)	Brucella abortus	[242]
Biotin (Vitamin B7)	Consumption (import)	Brucella melitensis	[242]
Biotin (Vitamin B7)	Consumption (import)	Brucella suis	[242]
Biotin (Vitamin B7)	Consumption (import)	Clostridium acetobutylicum	[242]
Biotin (Vitamin B7)	Consumption (import)	Clostridium botulinum	[242]
Biotin (Vitamin B7)	Consumption (import)	Clostridium butyricum	[242]
Biotin (Vitamin B7)	Consumption (import)	Clostridium sporogenes	[242]
Biotin (Vitamin B7)	Consumption (import)	Clostridium tetani	[242]
Biotin (Vitamin B7)	Consumption (import)	Colonocyte (host colon)	[336]
Biotin (Vitamin B7)	Consumption (import)	Deinococcus radiodurans	[125]
Biotin (Vitamin B7)	Production (export)	Escherichia coli	[39,362]
Biotin (Vitamin B7)	Consumption (import)	Fibrobacter succinogenes (Bacteroides succinogenes)	[198]
Biotin (Vitamin B7)	Consumption (import)	Lactobacillus acidophilus	[242]
Biotin (Vitamin B7)	Consumption (import)	Lactobacillus casei	[120,242]
Biotin (Vitamin B7)	Consumption (import)	Leuconostoc mesenteroides	[242]
Biotin (Vitamin B7)	Consumption (import)	Listeria monocytogenes	[242]
Biotin (Vitamin B7)	Consumption (import)	Paenibacillus larvae	[242]
Biotin (Vitamin B7)	Consumption (import)	Paenibacillus polymyxa	[242]
Biotin (Vitamin B7)	Consumption (import)	Rhizobium leguminosarum	[242]
Biotin (Vitamin B7)	Consumption (import)	Rhodobacter capsulatus	[260]
Biotin (Vitamin B7)	Consumption (import)	Rhodospirillum rubrum	[242]
Biotin (Vitamin B7)	Consumption (import)	Ruminococcus albus	[121]
Biotin (Vitamin B7)	Consumption (import)	Ruminococcus bromii	[121]
Biotin (Vitamin B7)	Consumption (import)	Staphylococcus aureus	[242]
Biotin (Vitamin B7)	Consumption (import)	Streptococcus bovis (Streptococcus equinus)	[242]
Biotin (Vitamin B7)	Consumption (import)	Streptococcus salivarius	[242]
Butanol	Consumption (import)	Bilophila wadsworthia	[169]
Butanol	Production (export)	Clostridium acetobutylicum	[216,278]
Butanol	Production (export)	Clostridium beijerinckii	[48,216]
Butanol	Consumption (import)	Geobacter metallireducens	[186]
Butanol	Consumption (import)	Moorella thermoacetica	[81]
Butanol	Consumption (import)	Pelobacter carbinolicus	[5,302,302]
Butanol	Consumption (import)	Pelobacter propionicus	[289,302]
Butanol	Consumption (import)	Pelotomaculum thermopropionicum	[135,162,302]
Butanol	Consumption (import)	Syntrophobacter fumaroxidans	[302]
Butanol	Consumption (import)	Syntrophobotulus glycolicus	[302]
Butanol	Consumption (import)	Syntrophomonas wolfei	[302]
Butanol	Consumption (import)	Syntrophothermus lipocalidus	[302]
Butanol	Consumption (import)	Syntrophus aciditrophicus	[302]
Butylamine	Production (export)	Bacteroides ovatus	[308]
Butylamine	Production (export)	Bacteroides thetaiotaomicron	[308]
Butylamine	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[308]
Butyrate	Production (export)	Acidaminococcus fermentans	[41,88,143,263]
Butyrate	Production (export)	Anaerococcus hydrogenalis	[90]
Butyrate	Production (export)	Anaerococcus lactolyticus	[90]
Butyrate	Production (export)	Anaerococcus prevotii	[90]
Butyrate	Production (export)	Anaerococcus tetradius	[90]
Butyrate	Production (export)	Anaerococcus vaginalis	[90]
Butyrate	Production (export)	Anaerostipes caccae	[18,19,42,85,91,94,184,189,249,285]
Butyrate	Production (export)	Anaerotruncus colihominis	[170,184]
Butyrate	Production (export)	Bacteroides caccae	[366]
Butyrate	Production (export)	Bacteroides cellulosilyticus	[366]
Butyrate	Production (export)	Bacteroides coprocola	[366]
Butyrate	Production (export)	Bacteroides coprophilus	[366]
Butyrate	Production (export)	Bacteroides dorei	[366]
Butyrate	Production (export)	Bacteroides eggerthii	[366]
Butyrate	Production (export)	Bacteroides finegoldii (Alistipes finegoldii)	[366]
Butyrate	Production (export)	Bacteroides fragilis	[366]
Butyrate	Production (export)	Bacteroides helcogenes	[366]
Butyrate	Production (export)	Bacteroides intestinalis	[366]
Butyrate	Production (export)	Bacteroides ovatus	[366]
Butyrate	Production (export)	Bacteroides pectinophilus	[366]
Butyrate	Production (export)	Bacteroides plebeius	[366]
Butyrate	Production (export)	Bacteroides salanitronis	[366]
Butyrate	Production (export)	Bacteroides stercoris	[366]
Butyrate	Production (export)	Bacteroides thetaiotaomicron	[366]
Butyrate	Production (export)	Bacteroides uniformis	[366]
Butyrate	Production (export)	Bacteroides vulgatus	[366]
Butyrate	Production (export)	Bacteroides xylanisolvens	[366]
Butyrate	Production (export)	Bifidobacterium longum (Bifidobacterium infantis, Bifidobacterium suis)	[13]
Butyrate	Production (export)	Butyrivibrio crossotus	[249,77,96,197,366]
Butyrate	Production (export)	Butyrivibrio fibrisolvens	[42,82,94,184,249,77,96,197,366]
Butyrate	Production (export)	Butyrivibrio proteoclasticus	[152,77,96,197,366]
Butyrate	Production (export)	Catenibacterium mitsuokai	[146]
Butyrate	Production (export)	Clostridium acetobutylicum	[42,249,278,77,175,316,339]
Butyrate	Production (export)	Clostridium asparagiforme	[77,175,316,339]
Butyrate	Production (export)	Clostridium bartlettii	[77,175,316,339]
Butyrate	Production (export)	Clostridium beijerinckii	[48,216,249,77,175,316,339]
Butyrate	Production (export)	Clostridium bolteae	[77,175,316,339]
Butyrate	Production (export)	Clostridium botulinum	[77,175,316,339]
Butyrate	Production (export)	Clostridium butyricum	[224,249,77,175,316,339]
Butyrate	Production (export)	Clostridium carboxidivorans	[77,175,316,339]
Butyrate	Production (export)	Clostridium cellulolyticum	[77,175,316,339]
Butyrate	Production (export)	Clostridium cellulovorans	[77,175,316,339]
Butyrate	Production (export)	Clostridium cf	[77,175,316,339]
Butyrate	Production (export)	Clostridium difficile	[249,77,175,316,339]
Butyrate	Production (export)	Clostridium hathewayi	[77,175,316,339]
Butyrate	Production (export)	Clostridium hiranonis	[77,175,316,339]
Butyrate	Production (export)	Clostridium hylemonae	[77,175,316,339]
Butyrate	Production (export)	Clostridium kluyveri	[249,294,318,77,175,316,339]
Butyrate	Production (export)	Clostridium leptum	[77,175,316,339]
Butyrate	Production (export)	Clostridium ljungdahlii	[77,175,316,339]
Butyrate	Production (export)	Clostridium methylpentosum	[77,175,316,339]
Butyrate	Production (export)	Clostridium nexile	[77,175,316,339]
Butyrate	Production (export)	Clostridium novyi	[77,175,316,339]
Butyrate	Production (export)	Clostridium papyrosolvens	[77,175,316,339]
Butyrate	Production (export)	Clostridium perfringens	[190,77,175,316,339]
Butyrate	Production (export)	Clostridium phytofermentans	[77,175,316,339]
